#steps	#Pot-Berendsen	#Pot-noose-hoover
0.000000	1635.648926	    1831.93
1.000000	-10321.562500	-11560.2
2.000000	-18997.654297	-21277.4
3.000000	-24159.796875	-27059
4.000000	-28005.648438	-31366.3
5.000000	-31354.820312	-35117.4
6.000000	-31608.476562	-35401.5
7.000000	-32306.781250	-36183.6
9.000000	-32591.037109	-36502
10.000000	-32653.173828	-36571.6
11.000000	-32865.531250	-36809.4
13.000000	-33360.695312	-37364
15.000000	-33589.406250	-37620.1
16.000000	-33793.210938	-37848.4
17.000000	-33874.269531	-37939.2
18.000000	-34078.906250	-38168.4
20.000000	-34294.050781	-38409.3
21.000000	-34402.000000	-38530.2
22.000000	-34660.628906	-38819.9
24.000000	-34790.617188	-38965.5
25.000000	-34873.312500	-39058.1
26.000000	-34996.511719	-39196.1
27.000000	-35014.722656	-39216.5
28.000000	-35110.406250	-39323.7
30.000000	-35371.796875	-39616.4
31.000000	-35420.882812	-39671.4
32.000000	-35749.523438	-40039.5
34.000000	-35818.582031	-40116.8
35.000000	-35881.480469	-40187.3
36.000000	-35918.289062	-40228.5
37.000000	-35953.023438	-40267.4
39.000000	-36175.246094	-40516.3
40.000000	-36275.285156	-40628.3
41.000000	-36563.644531	-40951.3
43.000000	-36607.433594	-41000.3
44.000000	-36659.687500	-41058.9
45.000000	-36677.050781	-41078.3
46.000000	-36707.398438	-41112.3
48.000000	-36879.691406	-41305.3
49.000000	-36927.125000	-41358.4
50.000000	-37155.265625	-41613.9
52.000000	-37186.812500	-41649.2
53.000000	-37231.960938	-41699.8
54.000000	-37237.816406	-41706.4
55.000000	-37271.882812	-41744.5
57.000000	-37403.136719	-41891.5
58.000000	-37411.550781	-41900.9
59.000000	-37581.910156	-42091.7
61.000000	-37614.113281	-42127.8
62.000000	-37641.027344	-42158
63.000000	-37661.300781	-42180.7
64.000000	-37669.824219	-42190.2
66.000000	-37788.585938	-42323.2
