#steps	#Potential-Noose
0.000000	1831.93
1.000000	-11560.2
2.000000	-21277.4
3.000000	-27059
4.000000	-31366.3
5.000000	-35117.4
6.000000	-35401.5
7.000000	-36183.6
9.000000	-36502
10.000000	-36571.6
11.000000	-36809.4
13.000000	-37364
15.000000	-37620.1
16.000000	-37848.4
17.000000	-37939.2
18.000000	-38168.4
20.000000	-38409.3
21.000000	-38530.2
22.000000	-38819.9
24.000000	-38965.5
25.000000	-39058.1
26.000000	-39196.1
27.000000	-39216.5
28.000000	-39323.7
30.000000	-39616.4
31.000000	-39671.4
32.000000	-40039.5
34.000000	-40116.8
35.000000	-40187.3
36.000000	-40228.5
37.000000	-40267.4
39.000000	-40516.3
40.000000	-40628.3
41.000000	-40951.3
43.000000	-41000.3
44.000000	-41058.9
45.000000	-41078.3
46.000000	-41112.3
48.000000	-41305.3
49.000000	-41358.4
50.000000	-41613.9
52.000000	-41649.2
53.000000	-41699.8
54.000000	-41706.4
55.000000	-41744.5
57.000000	-41891.5
58.000000	-41900.9
59.000000	-42091.7
61.000000	-42127.8
62.000000	-42158
63.000000	-42180.7
64.000000	-42190.2
66.000000	-42323.2
