# This file was created Tue Oct 11 15:42:37 2022
# Created by:
    #Step     "#Potential"    "#Kinetic"       
    0.000000  1635.648926      331729.281250 
    1.000000  -10321.562500    347803.593750
    2.000000  -18997.654297    370155.781250
    3.000000  -24159.796875    398618.187500
    4.000000  -28005.648438    427235.312500
    5.000000  -31354.820312    452225.906250
    6.000000  -31608.476562    458569.906250
    7.000000  -32306.781250    464228.093750
    9.000000  -32591.037109    464637.687500
   10.000000  -32653.173828    469953.500000
   11.000000  -32865.531250    474859.468750
   13.000000  -33360.695312    476228.687500
   15.000000  -33589.406250    480320.718750
   16.000000  -33793.210938    482757.875000
   17.000000  -33874.269531    484309.593750
   18.000000  -34078.906250    486779.031250
   20.000000  -34294.050781    488704.000000
   21.000000  -34402.000000    490342.281250
   22.000000  -34660.628906    492419.718750
   24.000000  -34790.617188    492524.625000
   25.000000  -34873.312500    494745.843750
   26.000000  -34996.511719    496947.062500
   27.000000  -35014.722656    497170.218750
   28.000000  -35110.406250    499859.281250
   30.000000  -35371.796875    501233.843750
   31.000000  -35420.882812    501760.437500
   32.000000  -35749.523438    503181.468750
   34.000000  -35818.582031    504631.218750
   35.000000  -35881.480469    505555.468750
   36.000000  -35918.289062    507256.062500
   37.000000  -35953.023438    508182.750000
   39.000000  -36175.246094    508903.531250
   40.000000  -36275.285156    509825.625000
   41.000000  -36563.644531    510127.593750
   43.000000  -36607.433594    510959.062500
   44.000000  -36659.687500    512498.312500
   45.000000  -36677.050781    513267.187500
   46.000000  -36707.398438    515191.500000
   48.000000  -36879.691406    515835.156250
   49.000000  -36927.125000    516351.250000
   50.000000  -37155.265625    516875.218750
   52.000000  -37186.812500    517161.937500
   53.000000  -37231.960938    517436.156250
   54.000000  -37237.816406    519222.531250
   55.000000  -37271.882812    520270.437500
   57.000000  -37403.136719    522394.750000
   58.000000  -37411.550781    522821.718750
   59.000000  -37581.910156    523229.218750
   61.000000  -37614.113281    523524.062500
   62.000000  -37641.027344    523732.406250
   63.000000  -37661.300781    523804.437500
   64.000000  -37669.824219    525556.687500
   66.000000  -37788.585938    526145.625000
