    #steps    #Potential-Berendsen
    0.000000  1635.648926
    1.000000  -10321.562500
    2.000000  -18997.654297
    3.000000  -24159.796875
    4.000000  -28005.648438
    5.000000  -31354.820312
    6.000000  -31608.476562
    7.000000  -32306.781250
    9.000000  -32591.037109
   10.000000  -32653.173828
   11.000000  -32865.531250
   13.000000  -33360.695312
   15.000000  -33589.406250
   16.000000  -33793.210938
   17.000000  -33874.269531
   18.000000  -34078.906250
   20.000000  -34294.050781
   21.000000  -34402.000000
   22.000000  -34660.628906
   24.000000  -34790.617188
   25.000000  -34873.312500
   26.000000  -34996.511719
   27.000000  -35014.722656
   28.000000  -35110.406250
   30.000000  -35371.796875
   31.000000  -35420.882812
   32.000000  -35749.523438
   34.000000  -35818.582031
   35.000000  -35881.480469
   36.000000  -35918.289062
   37.000000  -35953.023438
   39.000000  -36175.246094
   40.000000  -36275.285156
   41.000000  -36563.644531
   43.000000  -36607.433594
   44.000000  -36659.687500
   45.000000  -36677.050781
   46.000000  -36707.398438
   48.000000  -36879.691406
   49.000000  -36927.125000
   50.000000  -37155.265625
   52.000000  -37186.812500
   53.000000  -37231.960938
   54.000000  -37237.816406
   55.000000  -37271.882812
   57.000000  -37403.136719
   58.000000  -37411.550781
   59.000000  -37581.910156
   61.000000  -37614.113281
   62.000000  -37641.027344
   63.000000  -37661.300781
   64.000000  -37669.824219
   66.000000  -37788.585938
